InternalProjectID,AverageCount,AverageForecast,Error,PercentError,AbsPE,Func_Class,Forecast_Method,Diff_Year,UnifiedImprovementType
10914,67797.5,69861.25,2063.75,2.954069674,2.954069674,1,6,1,2
12343,99720,99724,4,0.004011071,0.004011071,1,6,5,1
12356,28800,31001,2201,7.099770975,7.099770975,1,6,3,3
13364,4610,4910,300,6.109979633,6.109979633,5,6,1,1
13486,53705,60317.5,6612.5,10.96282173,10.96282173,1,6,5,1
13624,580,635,55,8.661417323,8.661417323,6,6,0,1
14821,34445,28621.75,-5823.25,-20.34554142,20.34554142,4,6,2,1
16144,15556,16568.73684,1012.736842,6.112335851,6.112335851,3,6,6,1
16514,54630,58143.33333,3513.333333,6.042538554,6.042538554,1,6,6,2
16579,2190,2193.5,3.5,0.159562343,0.159562343,5,6,0,1
16592,2040,2790,750,26.88172043,26.88172043,5,6,1,1
1663,3600,5010,1410,28.14371257,28.14371257,3,1,3,3
16669,66695,76644.5,9949.5,12.981362,12.981362,1,6,2,1
1693,11820,10880,-940,-8.639705882,8.639705882,3,1,0,3
16964,67020,62530,-4490,-7.180553334,7.180553334,1,6,1,3
16987,2100,1900,-200,-10.52631579,10.52631579,5,6,2,3
1745,3178.333333,3329.166667,150.8333333,4.530663329,4.530663329,4.666666667,1,2,3
1760,6460,8310,1850,22.26233454,22.26233454,3,1,4,3
18221,7760,9880,2120,21.45748988,21.45748988,3,6,1,1
18232,8020,6617,-1403,-21.20296207,21.20296207,5,6,2,1
18239,15180,14348.5,-831.5,-5.795030839,5.795030839,4,6,2,3
18241,22520,25350.25,2830.25,11.16458418,11.16458418,3,6,1,1
18242,21435,24301,2866,11.79375334,11.79375334,3,6,1,1
18296,22230,30520,8290,27.16251638,27.16251638,1,6,2,1
18604,4620,7151.666667,2531.666667,35.39967374,35.39967374,3,6,2,1
18624,875,1117.5,242.5,21.70022371,21.70022371,5,6,2,1
18629,4030,5124.047619,1094.047619,21.35123832,21.35123832,3.857142857,6,2,1
18630,9140,12087.5,2947.5,24.38469493,24.38469493,3,6,2,1
1864,1300,2900,1600,55.17241379,55.17241379,4,4,3,3
18702,103690,90623,-13067,-14.41907683,14.41907683,1,6,1,3
18741,6750,7045,295,4.187366927,4.187366927,2.5,6,4,1
1905,5700,6350,650,10.23622047,10.23622047,4,1,1,3
