BriefDescription,ProjectYear,InternalProjectID,ImprovementType,AreaTypeFuncClass,main_ProjectInformation.State,TollType,TrafficForecast,ForecastYear,ForecastYearType,YearForecastProduced,ForecastingAgency,ForecastMethodology,SegmentDescription,ProjectID,SegmentID,CountID,Year_ofObservation,Count,Station_Identifier,main_TrafficCounts.State,CounterID,FunctionalClass,AdjustedForecast
Replacement of Medium Level Bridge over Banana River along  S.R. 520 in Brevard County (M.P 13.600 to M.P. 14.200),2001,237506-2,1,3,FL,No Tolls on 1+ lane,32000,2003,1,2001,5-Consultant,1-Traffic count trend,M.P 13.600 to M.P. 14.200,12-9021-237506-2-Replacement of Medium Level Bridge over Banana River along  S.R. 520 in Brevard County (M.P 13.600 to M.P. 14.200),1,12-24724-701007,2005,32500,701007,Florida,12-24724-701007,3-Principal Arterial,32000
Replacement of Medium Level Bridge over Banana River along  S.R. 520 in Brevard County (M.P 13.600 to M.P. 14.200),2001,237506-2,1,3,FL,No Tolls on 1+ lane,33300,2013,2,2001,5-Consultant,1-Traffic count trend,M.P 13.600 to M.P. 14.200,12-9022-237506-2-Replacement of Medium Level Bridge over Banana River along  S.R. 520 in Brevard County (M.P 13.600 to M.P. 14.200),1,12-24725-701007,2015,26000,701007,Florida,12-24725-701007,3-Principal Arterial,32050
Replacement of Medium Level Bridge over Banana River along  S.R. 520 in Brevard County (M.P 13.600 to M.P. 14.200),2001,237506-2,1,3,FL,No Tolls on 1+ lane,34500,2023,3,2001,5-Consultant,1-Traffic count trend,M.P 13.600 to M.P. 14.200,12-9022-237506-2-Replacement of Medium Level Bridge over Banana River along  S.R. 520 in Brevard County (M.P 13.600 to M.P. 14.200),1,12-24725-701007,2025,NA,701007,Florida,12-24725-701007,3-Principal Arterial,32000
S.R. 5/US 1 Resurfacing Project in Brevard County Florida (M.P 7.300 to M.P 9.924),2004,237550-1,1,3,FL,No Tolls on 1+ lane,39300,2004,1,2004,5-Consultant,1-Traffic count trend,M.P 7.300 to M.P 9.924,12-9023-237550-1-S.R. 5/US 1 Resurfacing Project in Brevard County Florida (M.P 7.300 to M.P 9.924),1,12-24726-700233,2006,33000,700233,Florida,12-24726-700233,3-Principal Arterial,39300
S.R. 5/US 1 Resurfacing Project in Brevard County Florida (M.P 7.300 to M.P 9.924),2004,237550-1,1,3,FL,No Tolls on 1+ lane,50800,2014,2,2004,5-Consultant,1-Traffic count trend,M.P 7.300 to M.P 9.924,12-9023-237550-1-S.R. 5/US 1 Resurfacing Project in Brevard County Florida (M.P 7.300 to M.P 9.924),1,12-24726-700233,2016,39000,700233,Florida,12-24726-700233,3-Principal Arterial,39300
S.R. 5/US 1 Resurfacing Project in Brevard County Florida (M.P 7.300 to M.P 9.924),2004,237550-1,1,3,FL,No Tolls on 1+ lane,62300,2024,3,2004,5-Consultant,1-Traffic count trend,M.P 7.300 to M.P 9.924,12-9023-237550-1-S.R. 5/US 1 Resurfacing Project in Brevard County Florida (M.P 7.300 to M.P 9.924),1,12-24726-700233,2026,NA,700233,Florida,12-24726-700233,3-Principal Arterial,39300
SR 513 Corridor Improvement Project (M.P 1.913 to M.P 5.059),2004,237565-1,1,3,FL,No Tolls on 1+ lane,18300,2010,1,2004,5-Consultant,1-Traffic count trend,M.P 1.913 to M.P 5.059,12-9024-237565-1-SR 513 Corridor Improvement Project (M.P 1.913 to M.P 5.059),1,12-24727-700348,2012,13400,700348,Florida,12-24727-700348,4-Minor Arterial,18300
SR 513 Corridor Improvement Project (M.P 1.913 to M.P 5.059),2004,237565-1,1,3,FL,No Tolls on 1+ lane,22800,2020,2,2004,5-Consultant,1-Traffic count trend,M.P 1.913 to M.P 5.059,12-9024-237565-1-SR 513 Corridor Improvement Project (M.P 1.913 to M.P 5.059),1,12-24727-700348,2022,NA,700348,Florida,12-24727-700348,4-Minor Arterial,18250
SR 513 Corridor Improvement Project (M.P 1.913 to M.P 5.059),2004,237565-1,1,3,FL,No Tolls on 1+ lane,27400,2030,3,2004,5-Consultant,1-Traffic count trend,M.P 1.913 to M.P 5.059,12-9024-237565-1-SR 513 Corridor Improvement Project (M.P 1.913 to M.P 5.059),1,12-24727-700348,2032,NA,700348,Florida,12-24727-700348,4-Minor Arterial,18300
"SR 501 Resurfacing Project on SR 501 from CR 503 (M.P. 1.193) to the north of Otterbein Avenue
(M.P. 2.671)",2007,237567-1,1,3,FL,No Tolls on 1+ lane,24300,2007,1,2007,5-Consultant,1-Traffic count trend,M.P 1.193 to Michigan Boulevard,"12-9025-237567-1-SR 501 Resurfacing Project on SR 501 from CR 503 (M.P. 1.193) to the north of Otterbein Avenue
(M.P. 2.671)",1,12-24728-705149,2009,23500,705149,Florida,12-24728-705149,3-Principal Arterial,24300
"SR 501 Resurfacing Project on SR 501 from CR 503 (M.P. 1.193) to the north of Otterbein Avenue
(M.P. 2.671)",2007,237567-1,1,3,FL,No Tolls on 1+ lane,31700,2017,2,2007,5-Consultant,1-Traffic count trend,M.P 1.193 to Michigan Boulevard,"12-9025-237567-1-SR 501 Resurfacing Project on SR 501 from CR 503 (M.P. 1.193) to the north of Otterbein Avenue
(M.P. 2.671)",1,12-24728-705149,2019,NA,705149,Florida,12-24728-705149,3-Principal Arterial,24250
"SR 501 Resurfacing Project on SR 501 from CR 503 (M.P. 1.193) to the north of Otterbein Avenue
(M.P. 2.671)",2007,237567-1,1,3,FL,No Tolls on 1+ lane,39200,2027,3,2007,5-Consultant,1-Traffic count trend,M.P 1.193 to Michigan Boulevard,"12-9025-237567-1-SR 501 Resurfacing Project on SR 501 from CR 503 (M.P. 1.193) to the north of Otterbein Avenue
(M.P. 2.671)",1,12-24728-705149,2029,NA,705149,Florida,12-24728-705149,3-Principal Arterial,24300
